x,y,token
16.788567,-39.730354,round
-21.955448,10.46769,young
30.258423,-4.6215897,tell
25.477,-17.28404,right
-42.22155,32.586872,called
2.5617676,-36.431473,under
22.743345,-44.749874,back
-5.1263065,34.51736,love
-51.150017,27.910774,david
-7.450921,27.724262,neither
42.742504,-29.568161,cried
-43.30793,19.959955,pass
7.169092,-27.77709,seemed
42.585526,1.1924949,soon
37.734837,-1.5474372,quite
-39.526695,48.318615,25
32.161907,-11.762389,oh
-1.6386063,19.7469,both
-4.8716946,-61.85292,whale
-38.799717,33.431633,words
-51.632126,7.7097178,city
-28.34023,49.79293,thine
-39.49654,48.251587,26
-24.20203,-0.9171021,left
-28.623749,49.600304,mine
-4.5756736,-22.169783,till
37.32221,0.7556967,always
9.327886,-41.31183,hands
-10.841926,45.88512,speak
1.0925272,40.422928,bring
25.165083,-48.199425,looked
-2.4899929,31.055904,death
52.22392,-26.158897,herself
-24.313349,11.045291,woman
-39.97336,48.591793,27
-8.981765,-29.93925,far
26.21337,-37.690323,something
13.1347885,-4.0785074,whole
-28.057817,10.648598,seen
23.61877,-25.964544,once
10.887414,-49.49991,stood
-8.811432,15.508115,thus
26.855099,29.631342,.--
-47.083717,-0.99304557,thereof
26.644562,-55.42104,half
-21.116692,6.462663,gave
-11.719871,23.165857,soul
33.745586,-18.618298,poor
-40.991886,17.711302,years
-40.668186,30.34851,sent
0.15018494,-19.335295,end
-40.45009,47.829224,28
-39.063595,-6.7022066,fire
-17.45673,7.6253295,work
-18.901901,-26.269077,high
-34.84927,9.690141,together
44.58812,-8.94485,morning
24.221485,42.56917,better
31.430073,3.8787766,indeed
-13.955615,46.426895,according
63.522354,21.09699,emma
-50.600163,24.868462,moses
13.13425,10.44167,part
-40.37028,-0.05727392,eat
-37.93439,14.6284895,given
11.288315,36.192196,sure
34.469822,-7.1705337,don_t
-33.615868,41.009415,saith
-59.398296,15.853696,jerusalem
-2.8881779,-6.8359394,full
-10.634631,10.434581,whose
-59.500534,15.984164,judah
-31.337753,-7.7495446,water
15.292705,27.221802,cannot
-12.092008,31.65786,evil
-1.6873375,19.542389,each
23.010397,-28.176561,rather
37.716988,-1.538046,enough
-49.79199,41.414852,brother
-44.901,32.10575,answered
-40.791878,47.830166,29
17.018156,29.447838,myself
39.734142,-15.929208,going
-19.470955,-12.638652,light
-4.481614,-6.0620227,new
-39.00671,30.800379,jesus
-22.353054,-51.79256,white
3.3668609,29.42548,told
-19.539196,8.715504,themselves
-21.194284,13.181304,between
9.685893,-30.433317,almost
25.453905,22.11472,mind
7.693678,14.085884,body
18.55807,-50.021507,began
15.088562,-56.34178,door
-49.935646,41.348736,wife
0.37078306,12.434832,rest
52.838184,-12.771166,moment
-25.80918,17.777752,dead
42.767742,-2.4815598,friend
3.595575,29.170101,knew
-18.206814,29.285833,spirit
36.626877,-6.790161,!--
-5.0908837,-59.78862,ship
-3.516721,21.547197,sight
2.3261962,39.003475,get
-40.361088,47.21794,30
-20.287546,33.24049,law
-35.31382,-1.6341387,blood
35.44797,-5.3549924,dear
33.92665,-10.596054,sir
3.8608499,20.866537,having
-22.7367,5.5722246,turned
19.880245,26.580315,find
-40.686794,47.250263,31
-0.1803118,43.004486,stand
-25.522095,33.54445,keep
-25.170143,50.08161,art
-57.847546,34.452667,priest
64.65584,13.9664755,mrs
-25.092804,8.520036,gone
33.12628,-8.390991,t
-68.78373,7.2983084,hundred
-10.179647,33.34774,none
61.969513,20.880707,elinor
-6.907418,24.828732,fear
34.116188,-16.990059,home
20.40079,33.64368,hope
33.556816,-7.078297,ll
46.63474,-27.110983,yes
23.873217,19.17574,however
15.245399,-57.398056,room
37.868576,0.27160853,really
-48.16594,-16.77656,gold
-1.859472,46.164635,call
-45.771473,35.098793,spake
17.99834,32.46741,believe
-39.749775,48.01116,32
-28.619497,-4.2378263,sword
-30.434692,11.59902,taken
23.758888,19.138035,perhaps
61.996117,20.781517,marianne
-53.309326,11.637591,egypt
-68.514694,7.1817737,thousand
28.45495,-5.9404216,does
-14.673224,26.788202,mouth
-71.39733,22.250477,year
-70.76114,5.548855,four
0.57503515,11.640396,within
0.30220217,26.266264,known
-12.238789,10.789584,strong
-16.679192,-55.68312,feet
-3.2692738,18.306133,power
-19.632097,-35.776543,air
27.925964,-50.458183,captain
56.304157,-1.6899382,felt
-49.579124,41.522724,sister
-47.415054,37.46311,servant
22.511005,-50.2404,ahab
17.61984,19.539816,present
-33.13803,10.379074,near
18.857937,20.747643,whether
-28.429335,26.758379,holy
-43.521885,-1.8349669,cast
-41.134357,46.95234,33
-45.2983,15.421656,fathers
2.7505696,31.32246,asked
28.102657,-27.155626,sort
26.089373,-0.66472,best
-28.56269,7.296081,turn
-48.600906,28.635532,servants
25.301321,-48.06589,looking
-70.32364,6.889582,five
-41.33957,38.33554,brethren
29.419413,-4.78669,mean
-49.58867,41.325672,daughter
10.668647,37.91548,happy
13.878758,-28.434574,small
17.10767,-54.81371,open
37.92176,-39.56043,boy
39.896507,-14.063419,next
-71.33988,7.5910964,seven
-13.460415,49.502354,peace
11.379208,-49.784035,sat
-30.947815,-40.56866,sun
-3.7442546,41.35853,return
62.074135,20.856646,anne
64.307686,12.745039,miss
-25.563047,14.875988,hold
-18.680525,-17.073378,above
27.760536,-3.3537316,want
19.127445,22.868032,else
-24.539198,11.109831,child
-6.3610697,40.592377,live
-40.26581,46.292076,34
36.807262,-34.9814,turnbull
39.548725,-6.852095,since
-22.375994,1.6932154,fell
1.1518656,-1.8890592,few
41.125683,-33.55125,",'"
-16.13245,50.184803,pray
-6.5974574,35.589386,truth
-24.31116,37.792225,glory
4.892211,25.115404,certain
-58.943344,10.607998,cities
36.77711,-34.904465,syme
40.719757,-20.812984,lady
8.071235,49.385483,true
39.88204,-15.718802,coming
17.70466,19.468151,least
16.816095,16.641073,others
-27.496964,1.9180331,lay
-27.851532,-10.591222,ground
8.096707,42.041092,leave
-33.453777,4.0183883,flesh
-26.355005,4.9578037,until
33.03732,17.20243,manner
0.5299419,-22.530289,passed
-11.282086,35.88839,cause
63.604904,21.03227,harriet
-25.023766,33.560028,walk
1.7415447,-33.521065,eye
22.724518,17.950493,matter
7.6040154,32.036606,afraid
8.666454,44.33848,alone
44.588985,-8.945554,evening
24.200205,29.824257,wish
34.85694,-43.391415,got
-25.825012,16.187426,fall
12.270746,12.736981,family
-50.421295,24.766945,commanded
40.455544,-29.649405,"--"""
2.2251098,-14.299809,less
0.7378531,59.113712,enter
17.726566,48.123615,friends
15.385706,-52.118183,towards
45.816307,-32.279278,replied
16.315119,32.828335,answer
-40.52971,48.383865,36
22.309736,7.5540953,kind
18.279526,-55.377697,behind
-69.63201,7.661014,twenty
-40.384926,-0.087286375,drink
-57.75266,3.5339904,toward
-6.429358,40.754227,die
-22.461227,-52.06511,black
-43.831066,10.754147,war
17.499697,-9.129807,times
-40.909363,47.313137,35
-2.6343353,36.896263,bear
-73.37247,23.804165,second
44.023098,-0.9000201,hour
-16.273052,11.893174,book
3.7470675,-62.176098,along
-49.728493,5.7616067,midst
-33.73963,15.0425825,money
10.127991,59.40325,haue
19.980997,19.737844,reason
-48.160034,-16.719374,silver
-33.449516,44.067585,thus_saith
34.70913,-9.897123,m
-35.1847,-28.843977,waters
-17.175613,13.819508,joy
-36.09985,-10.301078,field
6.0867205,23.117496,kept
13.873508,-28.443996,large
-54.68294,31.708794,saul
14.123059,32.269703,ask
-46.17566,10.767747,mighty
-31.040964,9.160988,country
-20.56928,-50.23264,red
5.641377,33.53659,help
2.4003105,1.6109004,living
24.247868,27.75533,feel
36.80516,-34.92973,macian
-52.458515,20.753557,kings
11.090877,43.489803,remember
-32.52595,-23.158953,tree
38.82018,-0.3706642,often
-16.35637,33.632767,wicked
-40.79019,48.306602,37
27.900032,-12.745558,course
18.3596,32.03295,understand
17.627016,-56.615807,garden
-40.379017,-0.04506273,bread
-44.672993,36.078285,spoken
34.54739,32.24003,person
29.910223,41.174137,pleasure
-23.337091,7.314899,returned
41.929264,-8.093832,ready
4.5271115,15.364065,nature
31.419153,3.9804933,certainly
-22.282564,-38.897892,dark
-41.30378,13.98778,dwell
4.5422,-9.831992,strange
-18.105972,30.757841,sin
-4.9750648,-58.748646,boat
-21.643467,10.900651,women
-52.283943,-10.811267,altar
40.6313,-33.172115,alice
47.764656,-4.749472,short
33.119434,39.29428,able
-30.206608,23.240904,nations
1.1589168,40.451927,send
-25.929382,-7.326856,broken
-16.278585,11.904002,written
-70.41224,6.8790784,ten
-32.70321,31.363611,christ
-5.421006,33.17047,faith
13.34471,-47.92847,table
26.31524,2.5002372,anything
-23.183962,-2.6256132,bed
3.4497147,32.784348,master
-23.887398,51.646263,shalt
-43.842937,-14.764345,fine
-7.8178105,45.151974,surely
-41.145897,48.705368,38
-44.901966,14.557319,gods
23.547756,32.522617,ought
-36.59426,45.639374,wherefore
-27.464355,2.0306315,laid
-25.79772,31.287521,strength
-26.889364,40.19058,praise
-53.736168,36.75106,jacob
19.060394,20.733395,either
10.255844,-58.603897,ran
8.944319,-34.034264,rose
-10.84541,-12.166519,itself
-14.339472,37.209724,judgment
-56.333256,-3.0967708,congregation
-33.078354,-23.441835,trees
-59.747486,22.2381,priests
-54.405598,-0.982007,gate
35.84529,1.8102612,business
30.312685,-5.945159,?--
-36.18722,47.523792,yea
-14.525944,33.250084,wise
-8.222842,34.969566,honour
-1.4144931,45.073,meet
0.9262064,-22.469719,walked
-34.818287,-14.850822,sweet
11.177303,36.53068,glad
10.426781,23.934303,received
-21.580849,35.89691,kingdom
29.057747,-4.0954056,suppose
-41.94071,48.331707,40
-19.406881,28.324062,works
8.723603,-46.994926,suddenly
2.1436548,14.823401,lost
22.157124,21.848196,doubt
-60.711514,25.656466,ham
-21.295198,-54.48068,hair
9.221259,11.220922,beyond
-48.437466,3.0872416,wall
-10.26798,0.5253278,",)"
-58.16601,30.972748,aaron
7.078534,-57.410973,arm
-30.389685,37.019665,blessed
16.884499,-54.363075,opened
34.35774,-3.622879,talk
